,IQ,CGPA,Academic_Performance,Communication_Skills,Projects_Completed,Placement
8701,91,6.23,3,10,2,0
3429,116,7.39,8,5,1,0
8870,115,7.07,10,7,2,0
6962,107,7.48,9,6,5,0
2088,93,7.28,9,9,5,0
8499,115,5.96,9,6,1,0
6162,81,9.72,5,10,1,0
3210,117,5.4,1,7,4,0
9200,124,6.94,6,1,3,0
6605,74,6.24,6,5,1,0
1109,128,7.69,2,7,5,0
5728,102,6.94,4,5,5,0
7829,82,5.07,8,1,0,0
1038,103,7.45,1,7,2,0
1194,76,6.67,10,10,1,0
4474,112,7.93,6,5,5,0
9874,104,6.99,3,4,5,0
2122,99,7.03,9,9,3,0
4982,104,6.52,2,4,5,0
8973,119,7.81,7,1,4,0
5700,99,6.23,3,5,1,0
934,106,7.14,6,1,3,0
6101,103,8.77,8,6,1,0
4689,92,5.65,7,10,2,0
394,117,5.8,3,8,1,0
4685,109,6.01,5,4,0,0
8776,94,7.37,7,3,0,0
9165,99,10.16,3,9,2,1
5980,85,5.97,8,10,1,0
9942,130,7.35,1,1,3,0
2191,106,9.34,4,5,3,0
1297,95,8.6,7,2,2,0
5044,112,8.96,8,6,5,1
1162,79,6.92,8,1,3,0
4254,103,8.44,4,10,4,1
6372,116,8.82,8,5,3,1
1527,123,5.28,4,6,0,0
4342,129,9.32,2,3,4,1
2030,112,6.33,5,7,4,0
3060,104,6.59,1,9,1,0
58,104,8.91,5,9,4,1
2405,120,4.84,9,3,1,0
5006,115,8.27,4,2,5,1
6157,86,8.25,6,8,0,0
7375,129,6.28,7,1,0,0
4506,110,5.27,4,6,0,0
5214,105,7.85,8,8,3,0
6029,91,7.14,1,9,1,0
1780,78,7.32,4,4,1,0
5447,126,5.38,5,4,2,0
4606,94,6.05,3,1,4,0
6914,116,8.85,1,8,5,1
676,83,8.12,4,1,3,0
3582,128,6.23,8,2,4,0
3653,87,9.5,3,9,5,1
7920,119,9.61,4,9,4,1
9499,124,7.31,8,3,3,0
2732,108,8.12,5,7,4,0
4787,90,7.93,4,3,3,0
2754,98,6.48,4,4,0,0
2337,100,5.65,2,8,3,0
3643,99,9.67,9,2,4,0
7737,107,6.71,6,1,3,0
5516,107,6.13,10,3,1,0
5246,91,5.85,6,10,3,0
